sql_id,slug,title,video_url
7,empresa-erp-video,Portal Empresa - ERP a tu medida,https://vimeo.com/721370946
33,portal-asesor-comunicaciones,Portal Asesor - Comunicaciones,https://vimeo.com/734326477
34,portal-empresa-comunicaciones,Portal Empresa - Comunicaciones,https://vimeo.com/734326477
39,portal-asesor-presentacion,Portal Asesor - Presentación,https://vimeo.com/768036075
41,portal-empresa-funciones-incluidas-asesor,Portal Empresa - Funcionalidades incluidas gracias al Portal Asesor,https://vimeo.com/760974880
43,portal-empresa-presentacion,Portal Empresa - Presentación,https://vimeo.com/788616104
67,modulo-renta,Portal Asesor - Módulo Renta,https://vimeo.com/821561944
68,presentacion-modulo-conector,Portal Asesor - Presentación Módulo Conector,https://vimeo.com/840006228?share=copy
71,tutorial-modulo-conector-1-7,Módulo Conector (1/7) - Configuración general y parámetros,https://vimeo.com/840761426?share=copy
72,tutorial-modulo-conector-2-7,Módulo Conector (2/7) - Importación del Plan Contable,https://vimeo.com/840770278?share=copy
73,tutorial-modulo-conector-3-7,Módulo Conector (3/7) - Importación de clientes y proveedores,https://vimeo.com/840776345?share=copy
74,tutorial-modulo-conector-4-7,Módulo Conector (4/7) - Gestión y confirmación de facturas,https://vimeo.com/840789459?share=copy
75,tutorial-modulo-conector-5-7,Módulo Conector (5/7) - Gestión bancaria y de caja,https://vimeo.com/840797561?share=copy
76,tutorial-modulo-conector-6-7,Módulo Conector (6/7) - Exportación al software contable,https://vimeo.com/840803835?share=copy
77,tutorial-modulo-conector-7-7,Módulo Conector (7/7) - Control y estadísticas,https://vimeo.com/840861174?share=copy
78,crm-portal-asesor,Portal Asesor - CRM a tu medida,https://vimeo.com/869144212?share=copy
79,erp-portal-empresa,Portal Empresa - ERP a tu medida,https://vimeo.com/869153097?share=copy
80,crm-alertas-personalizadas,Portal Asesor - CRM - Tus alertas personalizadas,https://vimeo.com/869153575?share=copy
81,erp-alertas-personalizadas,Portal Empresa - ERP - Tus alertas personalizadas,https://vimeo.com/869153853?share=copy
83,portal-asesor-factuconnect,Portal Asesor - Módulo Factuconnect,https://vimeo.com/925913108
84,empresa-factuconnect-que-es-1-7,1. Portal Empresa - Módulo Factuconnect -  Qué es Factuconnect,https://vimeo.com/927529851?share=copy
85,empresa-factuconnect-configuracion-inicial-2-7,2. Portal Empresa - Módulo Factuconnect - Configuración inicial de tu negocio,https://vimeo.com/927529884?share=copy
86,empresa-factuconnect-clientes-proveedores-3-7,3. Portal Empresa - Módulo Factuconnect - Clientes y proveedores,https://vimeo.com/927529710?share=copy
87,empresa-factuconnect-clientes-proveedores-4-7,4. Portal Empresa - Módulo Factuconnect -Presupuestos y proformas,https://vimeo.com/927529745?share=copy
88,empresa-factuconnect-facturas-abonos-5-7,5. Portal Empresa - Módulo Factuconnect - Facturas y abonos,https://vimeo.com/927529769?share=copy
89,empresa-factuconnect-facturacion-recurrente-6-7,6. Portal Empresa - Módulo Factuconnect - Facturación recurrente,https://vimeo.com/927529787?share=copy
90,empresa-factuconnect-facturas-recibidas-7-7,7. Portal Empresa - Módulo Factuconnect - Facturas recibidas y otros documentos,https://vimeo.com/927529821?share=copy
92,empresa-modulo-factuconnect,(VIDEO LARGO FACTUCONNECT HACER VISIBLE SI CONFIRMAN SINO DEJAR INVISIBLE) Portal Empresa - Módulo Factuconnect (18 min.),https://vimeo.com/928020845?share=copy
93,portal-empresa-factuconnect-4min,Portal Empresa - Módulo Factuconnect (4 minutos),https://vimeo.com/975070484?share=copy
94,portal-empresa-incluye-portal,Portal Empresa - ¿Qué incluye tu Portal?,https://vimeo.com/1068821308?share=copy
95,modulo-sol-empresa-control-horario-vacaciones,Módulo Sol - Portal Empresa - Control horario y vacaciones,https://vimeo.com/1068857690?share=copy
